h_id;agrupamento;assertividade;fonte;id_estudante;id_fonte;id_questionario;método
6395362e0dedcfcbae1599e7;False;0,75;null;11;9;2;casos
6395362e0dedcfcbae1599e8;False;0,6;null;11;10;2;casos
6395362f0dedcfcbae1599e9;False;1;null;11;11;2;casos
6395362f0dedcfcbae1599ea;False;1;null;11;12;2;casos
6395362f0dedcfcbae1599eb;False;0,8;null;11;13;2;casos
6395362f0dedcfcbae1599ec;False;0,5;null;11;14;2;casos
6395362f0dedcfcbae1599ed;False;1;null;11;15;2;casos
639536300dedcfcbae1599ee;False;1;null;11;16;2;casos
639536300dedcfcbae1599ef;False;1;null;11;17;2;casos
639536300dedcfcbae1599f0;False;0,5;null;11;18;2;casos
639536300dedcfcbae1599f1;False;0,5;null;11;19;2;casos
639536300dedcfcbae1599f2;False;0,375;null;11;20;2;casos
639536310dedcfcbae1599f3;False;0,75;null;11;21;2;casos
639536310dedcfcbae1599f4;False;0;null;11;22;2;casos
639536310dedcfcbae1599f5;False;0;null;11;23;2;casos
639536310dedcfcbae1599f6;False;0;null;11;24;2;casos
639536310dedcfcbae1599f7;False;0;null;11;25;2;casos
639536310dedcfcbae1599f8;False;0;null;11;26;2;casos
639536310dedcfcbae1599f9;False;0,5430555555555555;3;11;Média;2;casos
639536340dedcfcbae159a03;False;1;null;12;9;2;casos
639536350dedcfcbae159a04;False;0,6;null;12;10;2;casos
639536350dedcfcbae159a05;False;1;null;12;11;2;casos
639536350dedcfcbae159a06;False;1;null;12;12;2;casos
639536350dedcfcbae159a07;False;1;null;12;13;2;casos
639536350dedcfcbae159a08;False;0,6;null;12;14;2;casos
639536360dedcfcbae159a09;False;1;null;12;15;2;casos
639536360dedcfcbae159a0a;False;0,4;null;12;16;2;casos
639536360dedcfcbae159a0b;False;1;null;12;17;2;casos
639536360dedcfcbae159a0c;False;1;null;12;18;2;casos
639536360dedcfcbae159a0d;False;0,75;null;12;19;2;casos
639536370dedcfcbae159a0e;False;0,6;null;12;20;2;casos
639536370dedcfcbae159a0f;False;1;null;12;21;2;casos
639536370dedcfcbae159a10;False;0,5;null;12;22;2;casos
639536370dedcfcbae159a11;False;0,2727272727272727;null;12;23;2;casos
639536380dedcfcbae159a12;False;1;null;12;24;2;casos
639536380dedcfcbae159a13;False;0,3333333333333333;null;12;25;2;casos
639536380dedcfcbae159a14;False;0,21428571428571427;null;12;26;2;casos
639536380dedcfcbae159a15;False;0,7372414622414623;3;12;Média;2;casos
6395363d0dedcfcbae159a1f;False;0,75;null;13;9;2;casos
6395363d0dedcfcbae159a20;False;0,75;null;13;10;2;casos
6395363d0dedcfcbae159a21;False;1;null;13;11;2;casos
6395363e0dedcfcbae159a22;False;0,75;null;13;12;2;casos
6395363e0dedcfcbae159a23;False;0,75;null;13;13;2;casos
6395363e0dedcfcbae159a24;False;0,75;null;13;14;2;casos
6395363e0dedcfcbae159a25;False;0,75;null;13;15;2;casos
6395363f0dedcfcbae159a26;False;1;null;13;16;2;casos
6395363f0dedcfcbae159a27;False;0,75;null;13;17;2;casos
6395363f0dedcfcbae159a28;False;1;null;13;18;2;casos
6395363f0dedcfcbae159a29;False;0,75;null;13;19;2;casos
6395363f0dedcfcbae159a2a;False;0,6;null;13;20;2;casos
6395363f0dedcfcbae159a2b;False;0,6;null;13;21;2;casos
639536400dedcfcbae159a2c;False;1;null;13;22;2;casos
639536400dedcfcbae159a2d;False;0,23076923076923078;null;13;23;2;casos
639536400dedcfcbae159a2e;False;0,3;null;13;24;2;casos
639536400dedcfcbae159a2f;False;0,75;null;13;25;2;casos
639536400dedcfcbae159a30;False;0,6;null;13;26;2;casos
639536410dedcfcbae159a31;False;0,7267094017094017;3;13;Média;2;casos
639536440dedcfcbae159a3b;False;1;null;14;9;2;casos
639536440dedcfcbae159a3c;False;1;null;14;10;2;casos
639536440dedcfcbae159a3d;False;1;null;14;11;2;casos
639536440dedcfcbae159a3e;False;1;null;14;12;2;casos
639536440dedcfcbae159a3f;False;1;null;14;13;2;casos
639536450dedcfcbae159a40;False;1;null;14;14;2;casos
639536450dedcfcbae159a41;False;1;null;14;15;2;casos
639536450dedcfcbae159a42;False;1;null;14;16;2;casos
639536450dedcfcbae159a43;False;0,75;null;14;17;2;casos
639536450dedcfcbae159a44;False;1;null;14;18;2;casos
639536460dedcfcbae159a45;False;0,5;null;14;19;2;casos
639536460dedcfcbae159a46;False;1;null;14;20;2;casos
639536460dedcfcbae159a47;False;0,42857142857142855;null;14;21;2;casos
639536460dedcfcbae159a48;False;0,75;null;14;22;2;casos
639536460dedcfcbae159a49;False;0,5;null;14;23;2;casos
639536470dedcfcbae159a4a;False;0,75;null;14;24;2;casos
639536470dedcfcbae159a4b;False;1;null;14;25;2;casos
639536470dedcfcbae159a4c;False;0,42857142857142855;null;14;26;2;casos
639536470dedcfcbae159a4d;False;0,8392857142857143;3;14;Média;2;casos
6395364b0dedcfcbae159a57;False;0,3333333333333333;null;16;9;2;casos
6395364c0dedcfcbae159a58;False;1;null;16;10;2;casos
6395364c0dedcfcbae159a59;False;1;null;16;11;2;casos
6395364c0dedcfcbae159a5a;False;1;null;16;12;2;casos
6395364c0dedcfcbae159a5b;False;1;null;16;13;2;casos
6395364c0dedcfcbae159a5c;False;1;null;16;14;2;casos
6395364d0dedcfcbae159a5d;False;1;null;16;15;2;casos
6395364d0dedcfcbae159a5e;False;0,6;null;16;16;2;casos
6395364d0dedcfcbae159a5f;False;0,75;null;16;17;2;casos
6395364d0dedcfcbae159a60;False;1;null;16;18;2;casos
6395364d0dedcfcbae159a61;False;0,75;null;16;19;2;casos
6395364e0dedcfcbae159a62;False;0,75;null;16;20;2;casos
6395364e0dedcfcbae159a63;False;0,6;null;16;21;2;casos
6395364e0dedcfcbae159a64;False;0,75;null;16;22;2;casos
6395364e0dedcfcbae159a65;False;0,5;null;16;23;2;casos
6395364e0dedcfcbae159a66;False;0,42857142857142855;null;16;24;2;casos
6395364f0dedcfcbae159a67;False;0,2;null;16;25;2;casos
6395364f0dedcfcbae159a68;False;0,75;null;16;26;2;casos
6395364f0dedcfcbae159a69;False;0,74510582010582;3;16;Média;2;casos
639536530dedcfcbae159a73;False;0,5714285714285714;null;17;9;2;casos
639536530dedcfcbae159a74;False;0,42857142857142855;null;17;10;2;casos
639536530dedcfcbae159a75;False;0,6666666666666666;null;17;11;2;casos
639536530dedcfcbae159a76;False;1;null;17;12;2;casos
639536530dedcfcbae159a77;False;0,75;null;17;13;2;casos
639536540dedcfcbae159a78;False;0,75;null;17;14;2;casos
639536540dedcfcbae159a79;False;0,3;null;17;15;2;casos
639536540dedcfcbae159a7a;False;0,42857142857142855;null;17;16;2;casos
639536540dedcfcbae159a7b;False;0,75;null;17;17;2;casos
639536540dedcfcbae159a7c;False;1;null;17;18;2;casos
639536550dedcfcbae159a7d;False;1;null;17;19;2;casos
639536550dedcfcbae159a7e;False;0,4444444444444444;null;17;20;2;casos
639536550dedcfcbae159a7f;False;0,6;null;17;21;2;casos
639536550dedcfcbae159a80;False;1;null;17;22;2;casos
639536550dedcfcbae159a81;False;1;null;17;23;2;casos
639536560dedcfcbae159a82;False;0,2857142857142857;null;17;24;2;casos
639536560dedcfcbae159a83;False;0,5;null;17;25;2;casos
639536560dedcfcbae159a84;False;0,6;null;17;26;2;casos
