_id;agrupamento;fonte;id_estudante;id_fonte;id_questionario;método;nota
631fe772dcd9cfe3b8b77ab4;False;null;4;19;2;casos;9,583333333333334
631fe772dcd9cfe3b8b77ab5;False;null;4;20;2;casos;7,282051282051283
631fe772dcd9cfe3b8b77ab6;False;null;4;21;2;casos;8,75
631fe772dcd9cfe3b8b77ab7;False;null;4;22;2;casos;8,125
631fe773dcd9cfe3b8b77ab8;False;null;4;23;2;casos;7,916666666666666
631fe773dcd9cfe3b8b77ab9;False;null;4;24;2;casos;5,4259259259259265
631fe773dcd9cfe3b8b77aba;False;null;4;25;2;casos;7,416666666666667
631fe773dcd9cfe3b8b77abb;False;null;4;26;2;casos;7,5
631fe773dcd9cfe3b8b77abc;False;3;4;Média;2;casos;8,156285329896441
631fe775dcd9cfe3b8b77ac6;False;null;6;9;2;casos;10
631fe776dcd9cfe3b8b77ac7;False;null;6;10;2;casos;9,583333333333334
631fe776dcd9cfe3b8b77ac8;False;null;6;11;2;casos;10
631fe776dcd9cfe3b8b77ac9;False;null;6;12;2;casos;9,166666666666666
631fe776dcd9cfe3b8b77aca;False;null;6;13;2;casos;8,125
631fe776dcd9cfe3b8b77acb;False;null;6;14;2;casos;8,75
631fe776dcd9cfe3b8b77acc;False;null;6;15;2;casos;9,166666666666666
631fe776dcd9cfe3b8b77acd;False;null;6;16;2;casos;8,541666666666666
631fe777dcd9cfe3b8b77ace;False;null;6;17;2;casos;10
631fe777dcd9cfe3b8b77acf;False;null;6;18;2;casos;7,916666666666666
631fe777dcd9cfe3b8b77ad0;False;null;6;19;2;casos;7,916666666666666
631fe777dcd9cfe3b8b77ad1;False;null;6;20;2;casos;7,708333333333334
631fe777dcd9cfe3b8b77ad2;False;null;6;21;2;casos;7,777777777777777
631fe777dcd9cfe3b8b77ad3;False;null;6;22;2;casos;10
631fe777dcd9cfe3b8b77ad4;False;null;6;23;2;casos;5,833333333333334
631fe777dcd9cfe3b8b77ad5;False;null;6;24;2;casos;7,5
631fe778dcd9cfe3b8b77ad6;False;null;6;25;2;casos;3,4444444444444438
631fe778dcd9cfe3b8b77ad7;False;null;6;26;2;casos;10
631fe778dcd9cfe3b8b77ad8;False;3;6;Média;2;casos;8,41280864197531
631fe780dcd9cfe3b8b77ae2;False;null;7;9;2;casos;9,583333333333334
631fe780dcd9cfe3b8b77ae3;False;null;7;10;2;casos;9,583333333333334
